filename,status,reason,local_size,remote_checksum,local_checksum,path,processing_time
MOD11A1.A2022141.h27v08.061.2022142095410.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2022141.h27v08.061.2022142095410.hdf,
MOD11A1.A2022022.h27v08.061.2022025175659.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2022022.h27v08.061.2022025175659.hdf,
MOD11A1.A2020085.h28v08.061.2021007142004.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020085.h28v08.061.2021007142004.hdf,
MOD11A1.A2021314.h29v08.061.2021315091242.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021314.h29v08.061.2021315091242.hdf,
MOD11A1.A2021075.h27v08.061.2021076125237.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021075.h27v08.061.2021076125237.hdf,
MOD11A1.A2020273.h29v08.061.2021017043424.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020273.h29v08.061.2021017043424.hdf,
MOD11A1.A2020059.h27v08.061.2021006172423.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020059.h27v08.061.2021006172423.hdf,
MOD11A1.A2020188.h28v08.061.2021012160115.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020188.h28v08.061.2021012160115.hdf,
MOD11A1.A2021188.h27v08.061.2021189094327.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021188.h27v08.061.2021189094327.hdf,
MOD11A1.A2020048.h29v08.061.2021005213809.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020048.h29v08.061.2021005213809.hdf,
MOD11A1.A2022164.h28v08.061.2022165123548.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2022164.h28v08.061.2022165123548.hdf,
MOD11A1.A2020264.h27v08.061.2021015091627.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020264.h27v08.061.2021015091627.hdf,
MOD11A1.A2021319.h27v08.061.2021320203943.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021319.h27v08.061.2021320203943.hdf,
MOD11A1.A2020045.h28v08.061.2021005185649.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020045.h28v08.061.2021005185649.hdf,
MOD11A1.A2020311.h28v08.061.2021018083136.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020311.h28v08.061.2021018083136.hdf,
MOD11A1.A2021002.h29v08.061.2021040152651.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021002.h29v08.061.2021040152651.hdf,
MOD11A1.A2021328.h29v08.061.2021331103830.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021328.h29v08.061.2021331103830.hdf,
MOD11A1.A2020303.h27v08.061.2021018023632.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020303.h27v08.061.2021018023632.hdf,
MOD11A1.A2021132.h29v08.061.2021133211427.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021132.h29v08.061.2021133211427.hdf,
MOD11A1.A2021178.h28v08.061.2021179090450.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021178.h28v08.061.2021179090450.hdf,
MOD11A1.A2020323.h28v08.061.2021018180005.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2020323.h28v08.061.2021018180005.hdf,
MOD11A1.A2021233.h27v08.061.2021234124357.hdf,ORPHAN,File exists locally but is not in NASA manifest,,,,/mnt/AizatDrive/MOD11A1/MOD11A1.A2021233.h27v08.061.2021234124357.hdf,
