nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 43848
Workers: 12 (Recycle every 10 tasks)
[1/43848] 2020-01-01 11:00 -> AWS: Exists | JAXA: N/A
[21/43848] 2020-01-01 07:00 -> AWS: Exists | JAXA: Exists
[41/43848] 2020-01-02 03:00 -> AWS: Exists | JAXA: Exists
[61/43848] 2020-01-03 23:00 -> AWS: Exists | JAXA: N/A
[81/43848] 2020-01-04 19:00 -> AWS: Exists | JAXA: N/A
[101/43848] 2020-01-05 15:00 -> AWS: Exists | JAXA: N/A
[121/43848] 2020-01-06 11:00 -> AWS: Exists | JAXA: N/A
[141/43848] 2020-01-06 05:00 -> AWS: Exists | JAXA: Exists
[161/43848] 2020-01-07 01:00 -> AWS: Exists | JAXA: Exists
[181/43848] 2020-01-08 23:00 -> AWS: Exists | JAXA: N/A
[201/43848] 2020-01-09 19:00 -> AWS: Exists | JAXA: N/A
[221/43848] 2020-01-10 15:00 -> AWS: Exists | JAXA: N/A
[241/43848] 2020-01-11 11:00 -> AWS: Exists | JAXA: N/A
[261/43848] 2020-01-11 06:00 -> AWS: Exists | JAXA: Exists
[281/43848] 2020-01-12 02:00 -> AWS: Exists | JAXA: Exists
[301/43848] 2020-01-13 23:00 -> AWS: Exists | JAXA: N/A
[321/43848] 2020-01-14 19:00 -> AWS: Exists | JAXA: N/A
[341/43848] 2020-01-15 15:00 -> AWS: Exists | JAXA: N/A
[361/43848] 2020-01-16 11:00 -> AWS: Exists | JAXA: N/A
[381/43848] 2020-01-16 07:00 -> AWS: Exists | JAXA: Exists
[401/43848] 2020-01-17 03:00 -> AWS: Exists | JAXA: Exists
[421/43848] 2020-01-18 23:00 -> AWS: Exists | JAXA: N/A
[441/43848] 2020-01-19 19:00 -> AWS: Exists | JAXA: N/A
[461/43848] 2020-01-20 15:00 -> AWS: Exists | JAXA: N/A
[481/43848] 2020-01-21 11:00 -> AWS: Exists | JAXA: N/A
[501/43848] 2020-01-21 04:00 -> AWS: Exists | JAXA: Exists
[521/43848] 2020-01-22 04:00 -> AWS: Exists | JAXA: Exists
[541/43848] 2020-01-23 23:00 -> AWS: Exists | JAXA: N/A
[561/43848] 2020-01-24 19:00 -> AWS: Exists | JAXA: N/A
[581/43848] 2020-01-25 15:00 -> AWS: Exists | JAXA: N/A
[601/43848] 2020-01-26 11:00 -> AWS: Exists | JAXA: N/A
[621/43848] 2020-01-26 08:00 -> AWS: Exists | JAXA: Exists
[641/43848] 2020-01-27 04:00 -> AWS: Exists | JAXA: Exists
[661/43848] 2020-01-28 23:00 -> AWS: Exists | JAXA: N/A
[681/43848] 2020-01-29 19:00 -> AWS: Exists | JAXA: N/A
[701/43848] 2020-01-30 15:00 -> AWS: Exists | JAXA: N/A
[721/43848] 2020-01-31 11:00 -> AWS: Exists | JAXA: N/A
[741/43848] 2020-02-01 00:00 -> AWS: Exists | JAXA: Exists
[761/43848] 2020-02-01 04:00 -> AWS: Exists | JAXA: Exists
[781/43848] 2020-02-02 23:00 -> AWS: Exists | JAXA: N/A
[801/43848] 2020-02-03 19:00 -> AWS: Exists | JAXA: N/A
[821/43848] 2020-02-04 15:00 -> AWS: Exists | JAXA: N/A
[841/43848] 2020-02-05 11:00 -> AWS: Exists | JAXA: N/A
[861/43848] 2020-02-05 07:00 -> AWS: Exists | JAXA: Exists
[881/43848] 2020-02-06 02:00 -> AWS: Exists | JAXA: Exists
[901/43848] 2020-02-07 23:00 -> AWS: Exists | JAXA: N/A
[921/43848] 2020-02-08 19:00 -> AWS: Exists | JAXA: N/A
[941/43848] 2020-02-09 15:00 -> AWS: Exists | JAXA: N/A
[961/43848] 2020-02-10 11:00 -> AWS: Exists | JAXA: N/A
[981/43848] 2020-02-10 07:00 -> AWS: Exists | JAXA: Exists
[1001/43848] 2020-02-11 03:00 -> AWS: Exists | JAXA: Exists
[1021/43848] 2020-02-12 23:00 -> AWS: Exists | JAXA: N/A
[1041/43848] 2020-02-13 19:00 -> AWS: Exists | JAXA: N/A
[1061/43848] 2020-02-14 15:00 -> AWS: Exists | JAXA: N/A
[1081/43848] 2020-02-15 11:00 -> AWS: Exists | JAXA: N/A
[1101/43848] 2020-02-15 06:00 -> AWS: Exists | JAXA: Exists
[1121/43848] 2020-02-15 07:00 -> AWS: Exists | JAXA: Exists
[1141/43848] 2020-02-17 23:00 -> AWS: Exists | JAXA: N/A
[1161/43848] 2020-02-18 19:00 -> AWS: Exists | JAXA: N/A
[1181/43848] 2020-02-19 15:00 -> AWS: Exists | JAXA: N/A
[1201/43848] 2020-02-20 11:00 -> AWS: Exists | JAXA: N/A
[1221/43848] 2020-02-20 06:00 -> AWS: Exists | JAXA: Exists
[1241/43848] 2020-02-18 15:00 -> AWS: Missing | JAXA: N/A
[1261/43848] 2020-02-22 23:00 -> AWS: Exists | JAXA: N/A
[1281/43848] 2020-02-23 19:00 -> AWS: Exists | JAXA: N/A
[1301/43848] 2020-02-24 15:00 -> AWS: Exists | JAXA: N/A
[1321/43848] 2020-02-25 11:00 -> AWS: Exists | JAXA: N/A
[1341/43848] 2020-02-25 05:00 -> AWS: Exists | JAXA: Exists
[1361/43848] 2020-02-26 03:00 -> AWS: Exists | JAXA: Exists
[1381/43848] 2020-02-27 23:00 -> AWS: Exists | JAXA: N/A
[1401/43848] 2020-02-28 19:00 -> AWS: Exists | JAXA: N/A
[1421/43848] 2020-02-29 15:00 -> AWS: Exists | JAXA: N/A
[1441/43848] 2020-03-01 11:00 -> AWS: Exists | JAXA: N/A
[1461/43848] 2020-03-01 06:00 -> AWS: Exists | JAXA: Exists
[1481/43848] 2020-03-02 03:00 -> AWS: Exists | JAXA: Exists
[1501/43848] 2020-03-03 23:00 -> AWS: Exists | JAXA: N/A
[1521/43848] 2020-03-04 19:00 -> AWS: Exists | JAXA: N/A
[1541/43848] 2020-03-05 15:00 -> AWS: Exists | JAXA: N/A
[1561/43848] 2020-03-06 11:00 -> AWS: Exists | JAXA: N/A
[1581/43848] 2020-03-06 07:00 -> AWS: Exists | JAXA: Exists
[1601/43848] 2020-03-07 02:00 -> AWS: Exists | JAXA: Exists
[1621/43848] 2020-03-08 23:00 -> AWS: Exists | JAXA: N/A
[1641/43848] 2020-03-09 19:00 -> AWS: Exists | JAXA: N/A
[1661/43848] 2020-03-10 15:00 -> AWS: Exists | JAXA: N/A
[1681/43848] 2020-03-11 11:00 -> AWS: Exists | JAXA: N/A
[1701/43848] 2020-03-11 08:00 -> AWS: Exists | JAXA: Exists
[1721/43848] 2020-03-12 01:00 -> AWS: Exists | JAXA: Exists
[1741/43848] 2020-03-13 23:00 -> AWS: Exists | JAXA: N/A
[1761/43848] 2020-03-14 18:00 -> AWS: Exists | JAXA: N/A
[1781/43848] 2020-03-15 15:00 -> AWS: Exists | JAXA: N/A
[1801/43848] 2020-03-16 11:00 -> AWS: Exists | JAXA: N/A
[1821/43848] 2020-03-16 06:00 -> AWS: Exists | JAXA: Exists
[1841/43848] 2020-03-17 03:00 -> AWS: Exists | JAXA: Exists
[1861/43848] 2020-03-18 23:00 -> AWS: Exists | JAXA: N/A
[1881/43848] 2020-03-19 19:00 -> AWS: Exists | JAXA: N/A
[1901/43848] 2020-03-20 15:00 -> AWS: Exists | JAXA: N/A
[1921/43848] 2020-03-21 11:00 -> AWS: Exists | JAXA: N/A
[1941/43848] 2020-03-21 06:00 -> AWS: Exists | JAXA: Exists
[1961/43848] 2020-03-22 03:00 -> AWS: Exists | JAXA: Exists
[1981/43848] 2020-03-23 23:00 -> AWS: Exists | JAXA: N/A
[2001/43848] 2020-03-24 19:00 -> AWS: Exists | JAXA: N/A
[2021/43848] 2020-03-25 15:00 -> AWS: Exists | JAXA: N/A
[2041/43848] 2020-03-26 11:00 -> AWS: Exists | JAXA: N/A
[2061/43848] 2020-03-26 09:00 -> AWS: Exists | JAXA: Exists
[2081/43848] 2020-03-27 03:00 -> AWS: Exists | JAXA: Exists
[2101/43848] 2020-03-28 23:00 -> AWS: Exists | JAXA: N/A
[2121/43848] 2020-03-29 18:00 -> AWS: Exists | JAXA: N/A
[2141/43848] 2020-03-30 15:00 -> AWS: Exists | JAXA: N/A
[2161/43848] 2020-03-31 11:00 -> AWS: Exists | JAXA: N/A
[2181/43848] 2020-03-31 07:00 -> AWS: Exists | JAXA: Exists
[2201/43848] 2020-04-01 04:00 -> AWS: Exists | JAXA: Exists
[2221/43848] 2020-04-02 23:00 -> AWS: Exists | JAXA: N/A
[2241/43848] 2020-04-03 18:00 -> AWS: Exists | JAXA: N/A
[2261/43848] 2020-04-04 15:00 -> AWS: Exists | JAXA: N/A
[2281/43848] 2020-04-05 11:00 -> AWS: Exists | JAXA: N/A
[2301/43848] 2020-04-05 07:00 -> AWS: Exists | JAXA: Exists
[2321/43848] 2020-04-06 02:00 -> AWS: Exists | JAXA: Exists
[2341/43848] 2020-04-07 23:00 -> AWS: Exists | JAXA: N/A
[2361/43848] 2020-04-08 19:00 -> AWS: Exists | JAXA: N/A
[2381/43848] 2020-04-09 15:00 -> AWS: Exists | JAXA: N/A
[2401/43848] 2020-04-10 11:00 -> AWS: Exists | JAXA: N/A
[2421/43848] 2020-04-10 06:00 -> AWS: Exists | JAXA: Exists
[2441/43848] 2020-04-11 01:00 -> AWS: Exists | JAXA: Exists
[2461/43848] 2020-04-12 23:00 -> AWS: Exists | JAXA: N/A
[2481/43848] 2020-04-13 19:00 -> AWS: Exists | JAXA: N/A
[2501/43848] 2020-04-14 15:00 -> AWS: Exists | JAXA: N/A
[2521/43848] 2020-04-15 11:00 -> AWS: Exists | JAXA: N/A
[2541/43848] 2020-04-15 06:00 -> AWS: Exists | JAXA: Exists
[2561/43848] 2020-04-16 03:00 -> AWS: Exists | JAXA: Exists
[2581/43848] 2020-04-17 23:00 -> AWS: Exists | JAXA: N/A
[2601/43848] 2020-04-18 19:00 -> AWS: Exists | JAXA: N/A
[2621/43848] 2020-04-19 15:00 -> AWS: Exists | JAXA: N/A
[2641/43848] 2020-04-20 11:00 -> AWS: Exists | JAXA: N/A
[2661/43848] 2020-04-20 07:00 -> AWS: Exists | JAXA: Exists
[2681/43848] 2020-04-21 02:00 -> AWS: Exists | JAXA: Exists
[2701/43848] 2020-04-22 23:00 -> AWS: Exists | JAXA: N/A
[2721/43848] 2020-04-23 19:00 -> AWS: Exists | JAXA: N/A
[2741/43848] 2020-04-24 15:00 -> AWS: Exists | JAXA: N/A
[2761/43848] 2020-04-25 11:00 -> AWS: Exists | JAXA: N/A
[2781/43848] 2020-04-25 08:00 -> AWS: Exists | JAXA: Exists
[2801/43848] 2020-04-26 03:00 -> AWS: Exists | JAXA: Exists
[2821/43848] 2020-04-27 23:00 -> AWS: Exists | JAXA: N/A
[2841/43848] 2020-04-28 19:00 -> AWS: Exists | JAXA: N/A
[2861/43848] 2020-04-29 15:00 -> AWS: Exists | JAXA: N/A
[2881/43848] 2020-04-30 11:00 -> AWS: Exists | JAXA: N/A
[2901/43848] 2020-04-30 08:00 -> AWS: Exists | JAXA: Exists
[2921/43848] 2020-05-01 03:00 -> AWS: Exists | JAXA: Exists
[2941/43848] 2020-05-02 23:00 -> AWS: Exists | JAXA: N/A
[2961/43848] 2020-05-03 19:00 -> AWS: Exists | JAXA: N/A
[2981/43848] 2020-05-04 15:00 -> AWS: Exists | JAXA: N/A
[3001/43848] 2020-05-05 11:00 -> AWS: Exists | JAXA: N/A
[3021/43848] 2020-05-05 05:00 -> AWS: Exists | JAXA: Exists
[3041/43848] 2020-05-06 02:00 -> AWS: Exists | JAXA: Exists
[3061/43848] 2020-05-07 23:00 -> AWS: Exists | JAXA: N/A
[3081/43848] 2020-05-08 19:00 -> AWS: Exists | JAXA: N/A
[3101/43848] 2020-05-09 15:00 -> AWS: Exists | JAXA: N/A
[3121/43848] 2020-05-10 11:00 -> AWS: Exists | JAXA: N/A
[3141/43848] 2020-05-10 07:00 -> AWS: Exists | JAXA: Exists
[3161/43848] 2020-05-11 03:00 -> AWS: Exists | JAXA: Exists
[3181/43848] 2020-05-12 23:00 -> AWS: Exists | JAXA: N/A
[3201/43848] 2020-05-13 19:00 -> AWS: Exists | JAXA: N/A
[3221/43848] 2020-05-14 15:00 -> AWS: Exists | JAXA: N/A
[3241/43848] 2020-05-15 11:00 -> AWS: Exists | JAXA: N/A
[3261/43848] 2020-05-15 06:00 -> AWS: Exists | JAXA: Exists
[3281/43848] 2020-05-16 04:00 -> AWS: Exists | JAXA: Exists
[3301/43848] 2020-05-17 23:00 -> AWS: Exists | JAXA: N/A
