nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 8760
Workers: 8 (Recycle every 10 tasks)
[1/8760] 2025-01-01 01:00 -> AWS: Exists | JAXA: Exists
[21/8760] 2025-01-01 05:00 -> AWS: Exists | JAXA: Exists
[41/8760] 2025-01-02 23:00 -> AWS: Exists | JAXA: N/A
[61/8760] 2025-01-03 19:00 -> AWS: Exists | JAXA: N/A
[81/8760] 2025-01-04 15:00 -> AWS: Exists | JAXA: N/A
[101/8760] 2025-01-05 11:00 -> AWS: Exists | JAXA: N/A
[121/8760] 2025-01-06 00:00 -> AWS: Exists | JAXA: Exists
[141/8760] 2025-01-06 06:00 -> AWS: Exists | JAXA: Exists
[161/8760] 2025-01-07 23:00 -> AWS: Exists | JAXA: N/A
[181/8760] 2025-01-08 19:00 -> AWS: Exists | JAXA: N/A
[201/8760] 2025-01-09 15:00 -> AWS: Exists | JAXA: N/A
[221/8760] 2025-01-10 11:00 -> AWS: Exists | JAXA: N/A
[241/8760] 2025-01-11 00:00 -> AWS: Exists | JAXA: Exists
[261/8760] 2025-01-11 06:00 -> AWS: Exists | JAXA: Exists
[281/8760] 2025-01-12 23:00 -> AWS: Exists | JAXA: N/A
[301/8760] 2025-01-13 19:00 -> AWS: Exists | JAXA: N/A
[321/8760] 2025-01-14 15:00 -> AWS: Exists | JAXA: N/A
[341/8760] 2025-01-15 11:00 -> AWS: Exists | JAXA: N/A
[361/8760] 2025-01-16 00:00 -> AWS: Exists | JAXA: Exists
[381/8760] 2025-01-16 06:00 -> AWS: Exists | JAXA: Exists
[401/8760] 2025-01-17 23:00 -> AWS: Exists | JAXA: N/A
[421/8760] 2025-01-18 19:00 -> AWS: Exists | JAXA: N/A
[441/8760] 2025-01-19 15:00 -> AWS: Exists | JAXA: N/A
[461/8760] 2025-01-20 11:00 -> AWS: Exists | JAXA: N/A
[481/8760] 2025-01-21 00:00 -> AWS: Exists | JAXA: Exists
[501/8760] 2025-01-21 08:00 -> AWS: Exists | JAXA: Success
[521/8760] 2025-01-22 23:00 -> AWS: Exists | JAXA: N/A
[541/8760] 2025-01-23 19:00 -> AWS: Exists | JAXA: N/A
[561/8760] 2025-01-24 15:00 -> AWS: Exists | JAXA: N/A
[581/8760] 2025-01-25 11:00 -> AWS: Exists | JAXA: N/A
[601/8760] 2025-01-26 01:00 -> AWS: Exists | JAXA: Busy
[621/8760] 2025-01-26 07:00 -> AWS: Exists | JAXA: Exists
[641/8760] 2025-01-27 23:00 -> AWS: Exists | JAXA: N/A
[661/8760] 2025-01-28 19:00 -> AWS: Exists | JAXA: N/A
[681/8760] 2025-01-29 15:00 -> AWS: Exists | JAXA: N/A
[701/8760] 2025-01-30 11:00 -> AWS: Exists | JAXA: N/A
[721/8760] 2025-01-31 00:00 -> AWS: Exists | JAXA: Exists
[741/8760] 2025-01-31 06:00 -> AWS: Exists | JAXA: Exists
[761/8760] 2025-02-01 23:00 -> AWS: Exists | JAXA: N/A
[781/8760] 2025-02-02 19:00 -> AWS: Exists | JAXA: N/A
[801/8760] 2025-02-03 15:00 -> AWS: Exists | JAXA: N/A
[821/8760] 2025-02-04 11:00 -> AWS: Exists | JAXA: N/A
[841/8760] 2025-02-05 00:00 -> AWS: Exists | JAXA: Exists
[861/8760] 2025-02-05 06:00 -> AWS: Exists | JAXA: Exists
[881/8760] 2025-02-06 23:00 -> AWS: Exists | JAXA: N/A
[901/8760] 2025-02-07 19:00 -> AWS: Exists | JAXA: N/A
[921/8760] 2025-02-08 15:00 -> AWS: Exists | JAXA: N/A
[941/8760] 2025-02-09 11:00 -> AWS: Exists | JAXA: N/A
[961/8760] 2025-02-10 00:00 -> AWS: Exists | JAXA: Exists
[981/8760] 2025-02-10 07:00 -> AWS: Exists | JAXA: Busy
[1001/8760] 2025-02-11 23:00 -> AWS: Exists | JAXA: N/A
[1021/8760] 2025-02-12 19:00 -> AWS: Exists | JAXA: N/A
[1041/8760] 2025-02-13 15:00 -> AWS: Exists | JAXA: N/A
[1061/8760] 2025-02-14 11:00 -> AWS: Exists | JAXA: N/A
[1081/8760] 2025-02-14 07:00 -> AWS: Missing | JAXA: Busy
[1101/8760] 2025-02-15 06:00 -> AWS: Exists | JAXA: Exists
[1121/8760] 2025-02-16 23:00 -> AWS: Exists | JAXA: N/A
[1141/8760] 2025-02-17 19:00 -> AWS: Exists | JAXA: N/A
[1161/8760] 2025-02-18 15:00 -> AWS: Exists | JAXA: N/A
[1181/8760] 2025-02-19 11:00 -> AWS: Exists | JAXA: N/A
[1201/8760] 2025-02-20 00:00 -> AWS: Exists | JAXA: Busy
[1221/8760] 2025-02-20 07:00 -> AWS: Exists | JAXA: Busy
[1241/8760] 2025-02-21 23:00 -> AWS: Exists | JAXA: N/A
[1261/8760] 2025-02-22 19:00 -> AWS: Exists | JAXA: N/A
[1281/8760] 2025-02-23 15:00 -> AWS: Exists | JAXA: N/A
[1301/8760] 2025-02-24 11:00 -> AWS: Exists | JAXA: N/A
[1321/8760] 2025-02-25 00:00 -> AWS: Exists | JAXA: Exists
[1341/8760] 2025-02-25 06:00 -> AWS: Exists | JAXA: Exists
[1361/8760] 2025-02-26 23:00 -> AWS: Exists | JAXA: N/A
[1381/8760] 2025-02-27 19:00 -> AWS: Exists | JAXA: N/A
[1401/8760] 2025-02-28 15:00 -> AWS: Exists | JAXA: N/A
[1421/8760] 2025-03-01 11:00 -> AWS: Exists | JAXA: N/A
[1441/8760] 2025-03-02 00:00 -> AWS: Exists | JAXA: Exists
[1461/8760] 2025-03-02 06:00 -> AWS: Exists | JAXA: Exists
[1481/8760] 2025-03-03 23:00 -> AWS: Exists | JAXA: N/A
[1501/8760] 2025-03-04 19:00 -> AWS: Exists | JAXA: N/A
[1521/8760] 2025-03-05 15:00 -> AWS: Exists | JAXA: N/A
[1541/8760] 2025-03-06 11:00 -> AWS: Exists | JAXA: N/A
[1561/8760] 2025-03-07 00:00 -> AWS: Exists | JAXA: Exists
[1581/8760] 2025-03-07 07:00 -> AWS: Exists | JAXA: Exists
[1601/8760] 2025-03-08 23:00 -> AWS: Exists | JAXA: N/A
[1621/8760] 2025-03-09 19:00 -> AWS: Exists | JAXA: N/A
[1641/8760] 2025-03-10 03:00 -> AWS: Exists | JAXA: Exists
[1661/8760] 2025-03-11 11:00 -> AWS: Exists | JAXA: N/A
[1681/8760] 2025-03-12 00:00 -> AWS: Exists | JAXA: Exists
[1701/8760] 2025-03-12 06:00 -> AWS: Exists | JAXA: Exists
[1721/8760] 2025-03-13 23:00 -> AWS: Exists | JAXA: N/A
[1741/8760] 2025-03-14 19:00 -> AWS: Exists | JAXA: N/A
[1761/8760] 2025-03-15 15:00 -> AWS: Exists | JAXA: N/A
[1781/8760] 2025-03-16 11:00 -> AWS: Exists | JAXA: N/A
[1801/8760] 2025-03-17 00:00 -> AWS: Exists | JAXA: Exists
[1821/8760] 2025-03-17 06:00 -> AWS: Exists | JAXA: Exists
[1841/8760] 2025-03-18 23:00 -> AWS: Exists | JAXA: N/A
[1861/8760] 2025-03-19 19:00 -> AWS: Exists | JAXA: N/A
[1881/8760] 2025-03-20 15:00 -> AWS: Exists | JAXA: N/A
[1901/8760] 2025-03-21 11:00 -> AWS: Exists | JAXA: N/A
[1921/8760] 2025-03-22 00:00 -> AWS: Exists | JAXA: Exists
[1941/8760] 2025-03-22 06:00 -> AWS: Exists | JAXA: Exists
[1961/8760] 2025-03-23 23:00 -> AWS: Exists | JAXA: N/A
[1981/8760] 2025-03-24 19:00 -> AWS: Exists | JAXA: N/A
[2001/8760] 2025-03-25 15:00 -> AWS: Exists | JAXA: N/A
[2021/8760] 2025-03-26 11:00 -> AWS: Exists | JAXA: N/A
[2041/8760] 2025-03-27 00:00 -> AWS: Exists | JAXA: Exists
[2061/8760] 2025-03-27 06:00 -> AWS: Exists | JAXA: Exists
[2081/8760] 2025-03-28 23:00 -> AWS: Exists | JAXA: N/A
[2101/8760] 2025-03-29 19:00 -> AWS: Exists | JAXA: N/A
[2121/8760] 2025-03-30 15:00 -> AWS: Exists | JAXA: N/A
[2141/8760] 2025-03-31 11:00 -> AWS: Exists | JAXA: N/A
[2161/8760] 2025-04-01 00:00 -> AWS: Exists | JAXA: Exists
[2181/8760] 2025-04-01 06:00 -> AWS: Exists | JAXA: Exists
[2201/8760] 2025-04-02 23:00 -> AWS: Exists | JAXA: N/A
[2221/8760] 2025-04-03 19:00 -> AWS: Exists | JAXA: N/A
[2241/8760] 2025-04-04 15:00 -> AWS: Exists | JAXA: N/A
[2261/8760] 2025-04-05 11:00 -> AWS: Exists | JAXA: N/A
[2281/8760] 2025-04-06 01:00 -> AWS: Exists | JAXA: Exists
[2301/8760] 2025-04-06 06:00 -> AWS: Exists | JAXA: Exists
[2321/8760] 2025-04-07 23:00 -> AWS: Exists | JAXA: N/A
[2341/8760] 2025-04-08 19:00 -> AWS: Exists | JAXA: N/A
[2361/8760] 2025-04-09 15:00 -> AWS: Exists | JAXA: N/A
[2381/8760] 2025-04-10 11:00 -> AWS: Exists | JAXA: N/A
[2401/8760] 2025-04-11 00:00 -> AWS: Exists | JAXA: Exists
[2421/8760] 2025-04-11 06:00 -> AWS: Exists | JAXA: Exists
[2441/8760] 2025-04-12 23:00 -> AWS: Exists | JAXA: N/A
[2461/8760] 2025-04-13 19:00 -> AWS: Exists | JAXA: N/A
[2481/8760] 2025-04-14 15:00 -> AWS: Exists | JAXA: N/A
[2501/8760] 2025-04-15 11:00 -> AWS: Exists | JAXA: N/A
[2521/8760] 2025-04-16 00:00 -> AWS: Exists | JAXA: Exists
[2541/8760] 2025-04-16 06:00 -> AWS: Exists | JAXA: Exists
[2561/8760] 2025-04-17 23:00 -> AWS: Exists | JAXA: N/A
[2581/8760] 2025-04-18 19:00 -> AWS: Exists | JAXA: N/A
[2601/8760] 2025-04-19 15:00 -> AWS: Exists | JAXA: N/A
[2621/8760] 2025-04-20 11:00 -> AWS: Exists | JAXA: N/A
[2641/8760] 2025-04-21 00:00 -> AWS: Exists | JAXA: Exists
[2661/8760] 2025-04-21 07:00 -> AWS: Exists | JAXA: Exists
[2681/8760] 2025-04-22 23:00 -> AWS: Exists | JAXA: N/A
[2701/8760] 2025-04-23 19:00 -> AWS: Exists | JAXA: N/A
[2721/8760] 2025-04-24 15:00 -> AWS: Exists | JAXA: N/A
[2741/8760] 2025-04-25 11:00 -> AWS: Exists | JAXA: N/A
[2761/8760] 2025-04-26 00:00 -> AWS: Exists | JAXA: Exists
[2781/8760] 2025-04-26 06:00 -> AWS: Exists | JAXA: Exists
[2801/8760] 2025-04-27 23:00 -> AWS: Exists | JAXA: N/A
[2821/8760] 2025-04-28 19:00 -> AWS: Exists | JAXA: N/A
[2841/8760] 2025-04-29 15:00 -> AWS: Exists | JAXA: N/A
[2861/8760] 2025-04-30 11:00 -> AWS: Exists | JAXA: N/A
[2881/8760] 2025-05-01 00:00 -> AWS: Exists | JAXA: Exists
[2901/8760] 2025-05-01 07:00 -> AWS: Exists | JAXA: Exists
[2921/8760] 2025-05-02 23:00 -> AWS: Exists | JAXA: N/A
[2941/8760] 2025-05-03 19:00 -> AWS: Exists | JAXA: N/A
[2961/8760] 2025-05-04 15:00 -> AWS: Exists | JAXA: N/A
[2981/8760] 2025-05-05 11:00 -> AWS: Exists | JAXA: N/A
[3001/8760] 2025-05-06 00:00 -> AWS: Exists | JAXA: Exists
[3021/8760] 2025-05-06 06:00 -> AWS: Exists | JAXA: Exists
[3041/8760] 2025-05-07 23:00 -> AWS: Exists | JAXA: N/A
[3061/8760] 2025-05-08 19:00 -> AWS: Exists | JAXA: N/A
[3081/8760] 2025-05-09 15:00 -> AWS: Exists | JAXA: N/A
[3101/8760] 2025-05-10 11:00 -> AWS: Exists | JAXA: N/A
[3121/8760] 2025-05-11 00:00 -> AWS: Exists | JAXA: Exists
[3141/8760] 2025-05-11 06:00 -> AWS: Exists | JAXA: Exists
[3161/8760] 2025-05-12 23:00 -> AWS: Exists | JAXA: N/A
[3181/8760] 2025-05-13 19:00 -> AWS: Exists | JAXA: N/A
[3201/8760] 2025-05-14 15:00 -> AWS: Exists | JAXA: N/A
[3221/8760] 2025-05-15 11:00 -> AWS: Exists | JAXA: N/A
[3241/8760] 2025-05-16 00:00 -> AWS: Exists | JAXA: Exists
[3261/8760] 2025-05-16 05:00 -> AWS: Exists | JAXA: Success
[3281/8760] 2025-05-17 23:00 -> AWS: Exists | JAXA: N/A
[3301/8760] 2025-05-18 19:00 -> AWS: Exists | JAXA: N/A
[3321/8760] 2025-05-19 15:00 -> AWS: Exists | JAXA: N/A
[3341/8760] 2025-05-20 11:00 -> AWS: Exists | JAXA: N/A
[3361/8760] 2025-05-21 00:00 -> AWS: Exists | JAXA: Exists
[3381/8760] 2025-05-21 06:00 -> AWS: Exists | JAXA: Exists
[3401/8760] 2025-05-22 23:00 -> AWS: Exists | JAXA: N/A
[3421/8760] 2025-05-23 19:00 -> AWS: Exists | JAXA: N/A
[3441/8760] 2025-05-24 15:00 -> AWS: Exists | JAXA: N/A
[3461/8760] 2025-05-25 11:00 -> AWS: Exists | JAXA: N/A
[3481/8760] 2025-05-26 00:00 -> AWS: Exists | JAXA: Exists
[3501/8760] 2025-05-26 06:00 -> AWS: Exists | JAXA: Exists
[3521/8760] 2025-05-27 23:00 -> AWS: Exists | JAXA: N/A
