Date,23GHz,89GHz,SMC,Reason
2022-01-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-01-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-01-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-02-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-02-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-02-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-03-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-04-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-04-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-04-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-04-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-04-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-05-31,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-06-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-06-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-06-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-06-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-06-30,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-07-26,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-07-27,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-07-28,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
2022-07-29,MISSING,MISSING,MISSING,Satellite Gap (Orbit/Maintenance)
