filename,status,reason,local_size,integrity_check
BROWSE.MYD11A1.A2020001.h29v08.061.2021003113956.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10041,PASS (Structure Only)
MYD11A1.A2020001.h27v08.061.2021003114146.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1014773,PASS (Structure Only)
MYD11A1.A2020007.h27v08.061.2021003174531.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",670026,PASS (Structure Only)
MYD11A1.A2020002.h27v08.061.2021003114324.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",505110,PASS (Structure Only)
MYD11A1.A2020002.h28v08.061.2021003114348.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",464478,PASS (Structure Only)
BROWSE.MYD11A1.A2020006.h27v08.061.2021003160718.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",13123,PASS (Structure Only)
MYD11A1.A2020005.h28v08.061.2021003155809.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1737957,PASS (Structure Only)
BROWSE.MYD11A1.A2020005.h27v08.061.2021003155714.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",12815,PASS (Structure Only)
MYD11A1.A2020003.h27v08.061.2021003133943.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",1022551,PASS (Structure Only)
BROWSE.MYD11A1.A2020002.h29v08.061.2021003114415.1.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",7278,PASS (Structure Only)
MYD11A1.A2020001.h28v08.061.2021003113934.hdf,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",816417,PASS (Structure Only)
BROWSE.MYD11A1.A2020003.h28v08.061.2021003133731.2.jpg,VERIFIED_NO_HASH,"Valid Header, No Remote Checksum Available",10479,PASS (Structure Only)
