nohup: ignoring input
Loading Audit Report...
--- STARTING SURGICAL REPAIR ---
Targeting 232 specific files.
2020-01-29 14:00 -> AWS: None | JAXA: Skip
2020-01-22 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-02-07 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-01-27 01:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-02-18 15:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-01-31 08:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-01-13 02:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-01-30 20:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-03-09 18:00 -> AWS: None | JAXA: Skip
2020-02-18 16:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-02-27 19:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-02-22 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-03-07 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-03-23 20:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-05-21 14:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-05-21 02:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-06-18 23:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-06-19 11:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-07-17 00:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-07-17 12:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-02-28 07:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-08-10 12:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-08-24 11:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-08-28 09:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-08-27 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-09-10 11:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-09-07 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-09-10 23:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-09-21 09:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-10-08 17:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-10-09 05:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-10-19 07:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-10-22 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-10-23 09:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-11-02 06:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-12-17 22:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2020-12-18 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-01-14 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-01-15 09:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-01-22 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-02-07 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-02-16 15:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-02-16 16:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-02-22 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-02-22 23:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-03-07 21:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-05-03 19:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-05-06 22:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-05-07 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-05-17 18:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-06-28 15:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-07-12 14:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-07-15 18:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-07-16 06:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-07-26 13:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-08-26 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-08-26 22:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-09-06 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-10-21 22:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-11-11 07:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-10-22 10:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-12-16 19:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2021-12-17 07:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
2022-01-13 22:00 -> AWS: Still Missing (Source Unavailable) | JAXA: Skip
