WMOINDEX,STATION NAME,YEAR,MTH,DAY,HOUR,SLP,MSLP,DRY,WET,DEWPT,RH,VIS,VISCODE,WX,DIR,SPEED,DUR,RAIN,SUN,CLOUD,AMT1,TYPE1,HEIGHT1,AMT2,TYPE2,HEIGHT2,AMT3,TYPE3,HEIGHT3,AMT4,TYPE4,HEIGHT4,AMT5,TYPE5,HEIGHT5,AMT6,TYPE6,HEIGHT6,SOLAR
48603,Alor Setar,2023,1,1,1,1013.9,1014.5,23.1,21.6,21,86.8,8000,58,5,70,0.8,0,0,0,7,1,6,30,3,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,2,1013.6,1014.2,23.1,21.6,21,86.8,8000,58,5,350,1.3,0,0,0,7,1,6,30,3,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,3,1012.7,1013.3,22.7,21.5,21,89.7,8000,58,5,20,1,0,0,0,7,1,7,9,1,6,30,3,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,4,1012.2,1012.8,22.3,21.5,21.2,92.5,7000,57,5,30,1.1,0,0,0,7,1,7,8,1,6,30,3,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,5,1011.7,1012.3,22,21.2,20.9,93,7000,57,10,120,0.9,0,0,0,7,1,7,5,1,6,30,3,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,6,1011.5,1012.1,21.8,21,20.7,93,7000,57,10,80,1,0,0,0,7,1,7,5,1,6,30,3,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,7,1012.1,1012.7,21.5,20.7,20.4,92.9,7000,57,10,210,0.3,0,0,0,7,1,7,5,1,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,8,1012.5,1013.1,21.4,20.6,20.3,93,8000,58,5,110,1,0,0,0.03,7,1,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,9,1013.2,1013.8,23.2,21.6,20.9,85.8,8000,58,5,40,0.7,0,0,0.49,7,1,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,10,1013.8,1014.4,25.9,22.7,21.5,74.6,8000,58,5,40,1.3,0,0,1.24,7,1,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,11,1013.7,1014.3,28.6,22.5,19.9,56.8,9000,59,5,60,3.9,0,0,2.07,7,1,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,12,1013.1,1013.7,29.6,22.6,19.7,52.8,9000,59,5,60,4.1,0,0,2.64,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,13,1012.3,1012.9,30.6,22.8,19.5,48.7,9000,59,5,70,4.2,0,0,2.97,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,14,1011.1,1011.7,31,23,19.7,48.4,9000,59,5,50,3.7,0,0,3.05,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,15,1009.6,1010.2,31.8,23.2,19.7,46,9000,59,5,70,2.8,0,0,3.06,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,16,1008.8,1009.4,32.1,23.4,19.8,45.4,9000,59,5,70,3.3,0,0,2.77,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,17,1008.4,1009,31.7,23.4,20.1,47.7,8000,58,5,60,3.1,0,0,2.05,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,18,1008.5,1009.1,30.9,23.4,20.4,50.8,8000,58,5,60,2.5,0,0,1.35,7,1,8,20,1,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,19,1009.3,1009.9,29.2,23,20.6,57,8000,58,5,50,3,0,0,0.38,7,1,8,20,1,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,1,20,1010.4,1011,27.7,22.5,20.4,62.3,8000,58,5,40,2.3,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,21,1011.5,1012.1,26.4,22.4,20.8,69.6,8000,58,5,20,1.6,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,22,1012.5,1013.1,25.4,22.4,21.3,76.5,8000,58,5,20,1.4,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,23,1013.1,1013.7,25.1,21.8,20.5,73.5,8000,58,5,40,1.5,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,1,24,1013.5,1014.1,25.1,21.5,19.9,71.1,8000,58,5,80,1,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,1,1013.5,1014.1,25.1,21.8,20.4,73.6,8000,58,5,70,1.9,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,2,1013.2,1013.8,24.8,21.6,20.3,74.4,8000,58,5,70,1.7,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,3,1012.4,1013,24.7,21.6,20.4,75.1,8000,58,5,70,1.4,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,4,1011.7,1012.3,24.4,21.5,20.3,76.7,8000,58,5,50,1.3,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,5,1011.7,1012.3,23.2,21.4,20.7,84.3,8000,58,5,350,0.9,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,6,1011.5,1012.1,22.5,21.2,20.7,88.3,8000,58,5,290,0.9,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,7,1011.8,1012.4,22.1,20.9,20.4,89.7,8000,58,5,120,0.5,0,0,0,7,1,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,8,1012.5,1013.1,22.1,20.9,20.4,89.3,10000,60,5,350,1.2,0,0,0.01,7,1,8,20,1,6,30,1,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,2,9,1013.2,1013.8,23.5,21.7,21,84.4,10000,60,5,280,1.2,0,0,0.43,7,1,8,20,1,6,30,1,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,2,10,1014.3,1014.9,25.3,22.3,21.1,75.8,10000,60,5,300,0.5,0,0,0.93,7,1,8,20,1,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2023,1,2,11,1014.5,1015.1,28.4,23,20.9,61.3,12000,62,5,70,3.1,0,0,1.84,7,1,8,20,2,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2023,1,2,12,1014.1,1014.7,29.5,23.2,20.8,57,12000,62,5,60,3.4,0,0,2.47,7,2,8,20,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2023,1,2,13,1013,1013.6,30.1,23.7,21.2,56.2,12000,62,5,60,2.8,0,0,2.61,7,2,8,20,3,3,64,7,0,77,,,,,,,,,,
48603,Alor Setar,2023,1,2,14,1012.1,1012.7,31.3,23.8,20.9,51.2,12000,62,5,60,3.3,0,0,2.71,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,15,1010.7,1011.3,31.8,23.9,20.9,49.4,12000,62,5,50,3.3,0,0,2.78,7,3,8,20,1,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,16,1009.9,1010.5,31.6,23.6,20.4,49,10000,60,5,50,2.9,0,0,2.29,7,2,8,20,1,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,17,1009.3,1009.9,31.4,23.5,20.4,49.6,10000,60,5,50,2.8,0,0,1.72,7,2,8,20,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,18,1009.5,1010.1,30.4,23.8,21.4,56,10000,60,5,60,2.6,0,0,0.8,7,2,8,20,1,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,19,1010.3,1010.9,28.9,23.6,21.6,62.3,10000,60,5,40,2.2,0,0,0.26,7,1,8,20,1,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,2,20,1011.3,1011.9,27.2,23.4,22,71.2,10000,60,5,20,1.9,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,21,1012.6,1013.2,26.3,22.9,21.6,73.5,10000,60,5,50,1.9,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,22,1013.2,1013.8,25.8,22.8,21.7,76.6,10000,60,5,20,1.9,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,23,1013.5,1014.1,25.1,22.9,22.1,82.3,10000,60,5,300,0.5,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,2,24,1013.4,1014,24.4,22.7,22.1,86.1,10000,60,5,230,0.3,0,0,0,7,2,6,30,2,3,64,7,0,78,,,,,,,,,,
48603,Alor Setar,2023,1,3,1,1013.4,1014,24.1,22.8,22.3,89,9000,59,5,0,0,0,0,0,7,1,7,10,2,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,3,2,1013,1013.6,23.9,22.6,22.2,89.5,9000,59,5,40,0.5,0,0,0,7,1,7,10,2,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,3,3,1012.5,1013.1,23.6,22.4,22,90.3,9000,59,5,220,0.3,0,0,0,7,1,7,10,2,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,3,4,1011.9,1012.5,23.3,22.2,21.8,90.6,9000,59,5,80,0.8,0,0,0,7,1,7,10,1,6,30,2,3,64,7,0,78,,,,,,,
48603,Alor Setar,2023,1,3,5,1011.6,1012.2,23,22,21.6,91.2,9000,59,5,0,0,0,0,0,7,1,7,10,1,6,30,2,3,64,7,0,78,,,,,,,
